trial,objective,gap,elapsed,m_test_sharpe,m_train_sharpe,p_reject_pctile
101,1.5973,-0.238,1.1,1.835136,1.597292,0.498884
102,1.5795,-0.298,0.9,1.87731,1.579481,0.49375
103,1.5264,-0.423,0.9,1.949874,1.526379,0.478791
104,1.5659,-0.165,0.9,1.730568,1.565872,0.511004
105,1.4336,-0.513,0.9,1.946721,1.43357,0.455422
106,1.5729,-0.126,0.9,1.698738,1.572907,0.52731
107,1.4984,-0.027,0.9,1.525528,1.49843,0.554452
108,1.5973,-0.238,0.9,1.835136,1.597292,0.499131
109,1.5659,-0.165,0.9,1.730568,1.565872,0.510921
110,1.4100,-0.116,0.9,1.525528,1.409967,0.571485
111,1.5707,-0.335,0.9,1.905486,1.570681,0.483992
112,1.5973,-0.238,0.9,1.835136,1.597292,0.49883
113,1.4378,-0.509,0.9,1.946721,1.437762,0.459966
114,1.5397,-0.056,0.9,1.595221,1.539678,0.540513
115,1.5973,-0.238,0.9,1.835136,1.597292,0.500447
116,1.5659,-0.152,0.9,1.717519,1.565872,0.514742
117,1.4359,-0.466,0.9,1.901855,1.435863,0.441279
118,1.5397,-0.064,0.9,1.603319,1.539678,0.531593
119,1.4686,-0.478,0.9,1.94657,1.468565,0.471532
120,1.2940,-0.588,0.9,1.881952,1.293971,0.421959
121,1.5973,-0.238,0.9,1.835136,1.597292,0.498223
122,1.5858,-0.121,0.9,1.706613,1.585775,0.503882
123,1.5377,-0.412,0.9,1.949874,1.537714,0.481131
124,1.4378,-0.509,0.9,1.946721,1.437762,0.458311
125,1.5659,-0.152,0.9,1.717519,1.565872,0.514433
126,1.5612,-0.344,0.9,1.905486,1.561221,0.486767
127,1.5397,-0.064,0.9,1.603319,1.539678,0.531208
128,1.4984,-0.097,0.9,1.595221,1.49843,0.549724
129,1.5973,-0.238,0.9,1.835136,1.597292,0.500865
130,1.3217,-0.587,0.9,1.909009,1.321683,0.401836
131,1.5877,-0.290,0.9,1.87731,1.58769,0.497433
132,1.4823,-0.464,0.9,1.94657,1.482292,0.47311
133,1.5659,-0.152,0.9,1.717519,1.565872,0.517761
134,1.5795,-0.298,0.9,1.87731,1.579481,0.493384
135,1.4378,-0.509,0.9,1.946721,1.437762,0.463379
136,1.4359,-0.466,0.9,1.901855,1.435863,0.439855
137,1.5858,-0.121,0.9,1.706613,1.585775,0.503818
